iter	MultiClass
574	0.003670316017
575	0.003669219277
576	0.003668566884
577	0.003668198461
578	0.003667056947
579	0.00366652939
580	0.00366388521
581	0.003662748348
582	0.003662101895
583	0.003661451694
584	0.00366097691
585	0.003660612018
586	0.00365977644
587	0.0036591155
588	0.003658936023
589	0.003658308475
590	0.003657335146
591	0.003656259539
592	0.003655536049
593	0.003653827603
594	0.003653142866
595	0.003652280837
596	0.003649983303
597	0.003648174472
598	0.003647431042
599	0.003646670467
600	0.00364608938
601	0.00364293254
602	0.00364244565
603	0.003641741872
604	0.003641138442
605	0.003640389588
606	0.003639592655
607	0.003638140388
608	0.003638003893
609	0.003636650139
610	0.003636121853
611	0.00363556561
612	0.003629342863
613	0.003626899241
614	0.003626433524
615	0.00362472144
616	0.003622218837
617	0.003620547663
618	0.003619704814
619	0.003619112607
620	0.003617151388
621	0.003616609071
622	0.003615993828
623	0.003613929362
624	0.003613612217
625	0.00361317567
626	0.003612795154
627	0.003612102767
628	0.003608701234
629	0.00360782757
630	0.003606972749
631	0.003606595913
632	0.003606022148
633	0.003605079484
634	0.003604739624
635	0.00360341239
636	0.003601933283
637	0.003601202563
638	0.003599479462
639	0.00359896374
640	0.003598297374
641	0.003597339676
642	0.003595386725
643	0.003594292697
644	0.003592266205
645	0.003590732804
646	0.003589091896
647	0.003588774739
648	0.003587686529
649	0.003587303323
650	0.00358690482
651	0.003585752419
652	0.003585377745
653	0.003583479848
654	0.003583065349
655	0.003582589952
656	0.003582470501
657	0.003580860275
658	0.003573951197
659	0.003573178582
660	0.003571769439
661	0.003570018936
662	0.003565317074
663	0.003565101543
664	0.003563959327
665	0.003562989648
666	0.003562787649
667	0.003562387914
668	0.00356154651
669	0.003560711164
670	0.0035603263
671	0.003554646779
672	0.003554124611
673	0.003553126075
674	0.003552704127
675	0.003552220019
676	0.003551663792
677	0.003551024784
678	0.003549288766
679	0.00354761233
680	0.00354692347
681	0.003544078518
682	0.003543054753
683	0.00353978362
684	0.003539337929
685	0.003538855752
686	0.003536762998
687	0.003536288296
688	0.003534894842
689	0.003534087218
690	0.00353325391
691	0.003531967775
692	0.003531537616
693	0.003531059716
694	0.003530859445
695	0.003529563465
696	0.003529179066
697	0.003528477778
698	0.003527642807
699	0.003526846829
700	0.003525178892
701	0.003524589953
702	0.003523837323
703	0.003522669972
704	0.003521637951
705	0.003520750645
706	0.003519875502
707	0.00351963244
708	0.003517915395
709	0.003517625386
710	0.003516696542
711	0.003515520948
712	0.003514536973
713	0.003514014124
714	0.003513526597
715	0.003512615305
716	0.003511938251
717	0.003511272958
718	0.003510178661
719	0.003509613072
720	0.003509344033
721	0.003508896361
722	0.003507563203
723	0.00350612184
724	0.003504059773
725	0.003503539122
726	0.003503020577
727	0.003501655065
728	0.003501446649
729	0.003500940589
730	0.003499833602
731	0.003499476401
732	0.003499114169
733	0.003498163471
734	0.00349761769
735	0.003497200888
736	0.003496076252
737	0.003495618221
738	0.003494273831
739	0.003493915425
740	0.003493076549
741	0.003492642132
742	0.003492180515
743	0.003490882064
744	0.003486486887
745	0.003486395868
746	0.003485607103
747	0.003484591571
748	0.003484045432
749	0.003481718439
750	0.003481230287
751	0.003480338981
752	0.00347905787
753	0.003478623096
754	0.003478028275
755	0.003477682316
756	0.003477219988
757	0.003476906372
758	0.00347665603
759	0.00347629633
760	0.003475544756
761	0.003474914451
762	0.003474335215
763	0.00347384176
764	0.003473204551
765	0.003472808883
766	0.003472567739
767	0.003471228972
768	0.00347006472
769	0.003469376677
770	0.003468737247
771	0.003467447591
772	0.003467202245
773	0.003466529616
774	0.003465649422
775	0.003465178336
776	0.003464831327
777	0.003464260679
778	0.003463560365
779	0.003462848466
780	0.003462576549
781	0.003462193554
782	0.003461531147
783	0.003460581725
784	0.003460180169
785	0.003459818847
786	0.003459544941
787	0.003457737946
788	0.003457495729
789	0.003457322995
790	0.003456688892
791	0.00345647918
792	0.003455601097
793	0.003455402215
794	0.003454491885
795	0.003454185515
796	0.003453828053
797	0.003453146164
798	0.00345301234
799	0.003452818499
800	0.003452309388
801	0.003452020291
802	0.003450975422
803	0.00345083171
804	0.00345006868
805	0.003449661309
806	0.003449426638
807	0.003448872179
808	0.003448478291
809	0.003448100607
810	0.003447852577
811	0.003447636281
812	0.003447334311
813	0.003446571085
814	0.003445811334
815	0.003445643168
816	0.003445586902
817	0.003445171821
818	0.003444718874
819	0.003443414984
820	0.003443043457
821	0.003442839869
822	0.003441617372
823	0.003440927246
824	0.003440536434
825	0.003439680063
826	0.003439093525
827	0.003438568314
828	0.003438406211
829	0.003437877534
830	0.003437189368
831	0.003436111548
832	0.003435726321
833	0.00343538873
834	0.003434554181
835	0.003434192047
836	0.003432812865
837	0.003432653387
838	0.003432022277
839	0.003431795205
840	0.00343144894
841	0.003431068447
842	0.003430496415
843	0.003429141479
844	0.003428812626
845	0.003428364311
846	0.003426024853
847	0.003425441244
848	0.0034249653
849	0.003424368489
850	0.003424095074
851	0.003423686977
852	0.003422866249
853	0.00342234426
854	0.003422044812
855	0.003420899331
856	0.003420543711
857	0.003420439626
858	0.00342033361
859	0.003419654543
860	0.003418287772
861	0.003417010304
862	0.003416462387
863	0.003416060982
864	0.003415571799
865	0.003414550523
866	0.003414361707
867	0.003414116364
868	0.003413421831
869	0.003412445338
870	0.003412243148
871	0.003412076349
872	0.003411769101
873	0.00341131243
874	0.003410383438
875	0.003409689603
876	0.003408635365
877	0.00340799139
878	0.003407700567
879	0.003407364227
880	0.003406426249
881	0.003405935109
882	0.003405671715
883	0.003404668886
884	0.003404044182
885	0.003403853192
886	0.003403100784
887	0.003402098084
888	0.003401752679
889	0.003401472284
890	0.003401176742
891	0.003400785929
892	0.003400566
893	0.003399746578
894	0.003399658872
895	0.003399283234
896	0.00339909341
897	0.003398852638
898	0.003398544335
899	0.003398265041
900	0.003397783924
901	0.003393362521
902	0.003392992541
903	0.003392707193
904	0.003391802937
905	0.003391514083
906	0.003390698232
907	0.003387721674
908	0.003387475345
909	0.003387300043
910	0.00338630567
911	0.003385812037
912	0.003385231318
913	0.003384533471
914	0.003384297472
915	0.003384121896
916	0.003383837981
917	0.003383242781
918	0.003382819246
919	0.003382667529
920	0.003382453689
921	0.003382273591
922	0.003382096059
923	0.003381709246
924	0.003380749328
925	0.003379156001
926	0.003378547144
927	0.003378035834
928	0.003377876928
929	0.003377139449
930	0.003376810971
931	0.003376345647
932	0.003375024586
933	0.003374695686
934	0.003374338334
935	0.003374191472
936	0.003373125728
937	0.003372887891
938	0.003372531978
939	0.003372344572
940	0.003372064573
941	0.00337189771
942	0.003371716697
943	0.003371378624
944	0.003370829477
945	0.003370752084
946	0.003370611539
947	0.003370012396
948	0.003369628086
949	0.003369415941
950	0.003369302247
951	0.003368846518
952	0.003368593737
953	0.003368067218
954	0.003367550678
955	0.003366803575
956	0.003365811302
957	0.003365115684
958	0.003364899208
959	0.003364680691
960	0.00336436134
961	0.003364114696
962	0.0033637243
963	0.003363468293
964	0.003363158503
965	0.00336286119
966	0.003362571361
967	0.00336210004
968	0.003361454917
969	0.003361276229
970	0.00336084721
